,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Susie,Matty,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Susie,Ken,1.0,1.0,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,
Susie,Crystal,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,0.0,,
Susie,Randy,1.0,1.0,,,,,,0.0,,0.0,0.0,,,,
Susie,Dan,1.0,1.0,,,,,,0.0,,,,,,,
Susie,GC,1.0,1.0,,,,,,,,,,,,,
Susie,Gillian,1.0,0.0,,,,,,,,,,,,,
Susie,Michelle,0.0,,,,,,,,,,,,,,
Matty,Ken,1.0,1.0,,1.0,1.0,1.0,0.0,,,1.0,1.0,0.0,0.0,0.0,
Matty,Crystal,1.0,1.0,,1.0,1.0,1.0,0.0,,,1.0,1.0,1.0,0.0,,
Matty,Randy,1.0,1.0,,,,,,,,0.0,0.0,,,,
Matty,Dan,1.0,1.0,,,,,,,,,,,,,
Matty,GC,1.0,1.0,,1.0,0.0,,,,,,,,,,
Matty,Gillian,1.0,0.0,,,,,,,,,,,,,
Matty,Michelle,0.0,,,,,,,,,,,,,,
Ken,Crystal,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,,
Ken,Randy,1.0,1.0,,,,,,,,0.0,0.0,,,,
Ken,Dan,1.0,1.0,,,,,,,,,,,,,
Ken,GC,1.0,1.0,,1.0,0.0,,,,,,,,,,
Ken,Gillian,1.0,0.0,,,,,,,,,,,,,
Ken,Michelle,0.0,,,,,,,,,,,,,,
Crystal,Randy,1.0,1.0,,,,,,,,0.0,0.0,,,,
Crystal,Dan,1.0,1.0,,,,,,,,,,,,,
Crystal,GC,1.0,1.0,,1.0,0.0,,,,,,,,,,
Crystal,Gillian,1.0,0.0,,,,,,,,,,,,,
Crystal,Michelle,0.0,,,,,,,,,,,,,,
Randy,Dan,1.0,1.0,,,,,,1.0,,,,,,,
Randy,GC,1.0,1.0,,,,,,,,,,,,,
Randy,Gillian,1.0,0.0,,,,,,,,,,,,,
Randy,Michelle,0.0,,,,,,,,,,,,,,
Dan,GC,1.0,1.0,,,,,,,,,,,,,
Dan,Gillian,1.0,0.0,,,,,,,,,,,,,
Dan,Michelle,0.0,,,,,,,,,,,,,,
GC,Gillian,1.0,0.0,,,,,,,,,,,,,
GC,Michelle,0.0,,,,,,,,,,,,,,
Gillian,Michelle,0.0,,,,,,,,,,,,,,
Bob,Sugar,,,1.0,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0
Bob,Corinne,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,
Bob,Charlie,,,1.0,,,,,1.0,,1.0,,,,,
Bob,Marcus,,,1.0,,,,,0.0,1.0,,,,,,
Bob,Ace,,,1.0,,,,,,,,,,,,
Bob,Kelly,,,0.0,,,,,,,,,,,,
Bob,Jacquie,,,1.0,,,,,,,,,,,,
Bob,Paloma,,,0.0,,,,,,,,,,,,
Sugar,Corinne,,,1.0,,,,,,,0.0,0.0,0.0,,,
Sugar,Charlie,,,1.0,,,,,,,0.0,,,,,
Sugar,Marcus,,,1.0,,,,,,,,,,,,
Sugar,Ace,,,1.0,,1.0,1.0,0.0,,,,,,,,
Sugar,Kelly,,,0.0,,1.0,0.0,,,,,,,,,
Sugar,Jacquie,,,1.0,,,,,,,,,,,,
Sugar,Paloma,,,0.0,,,,,,,,,,,,
Corinne,Charlie,,,1.0,,,,,1.0,,1.0,,,,,
Corinne,Marcus,,,1.0,,,,,0.0,,,,,,,
Corinne,Ace,,,1.0,,,,,,,,,,,,
Corinne,Kelly,,,0.0,,,,,,,,,,,,
Corinne,Jacquie,,,1.0,,,,,,,,,,,,
Corinne,Paloma,,,0.0,,,,,,,,,,,,
Charlie,Marcus,,,1.0,,,,,0.0,,,,,,,
Charlie,Ace,,,1.0,,,,,,,,,,,,
Charlie,Kelly,,,0.0,,,,,,,,,,,,
Charlie,Jacquie,,,1.0,,,,,,,,,,,,
Charlie,Paloma,,,0.0,,,,,,,,,,,,
Marcus,Ace,,,1.0,,,,,,,,,,,,
Marcus,Kelly,,,0.0,,,,,,,,,,,,
Marcus,Jacquie,,,1.0,,,,,,,,,,,,
Marcus,Paloma,,,0.0,,,,,,,,,,,,
Ace,Kelly,,,0.0,0.0,1.0,0.0,,,,,,,,,
Ace,Jacquie,,,1.0,1.0,,,,,,,,,,,
Ace,Paloma,,,0.0,,,,,,,,,,,,
Kelly,Jacquie,,,0.0,0.0,,,,,,,,,,,
Kelly,Paloma,,,1.0,,,,,,,,,,,,
Jacquie,Paloma,,,0.0,,,,,,,,,,,,
Matty,Ace,,,,0.0,1.0,1.0,1.0,,,,,,,,
Matty,Kelly,,,,1.0,1.0,0.0,,,,,,,,,
Matty,Jacquie,,,,0.0,,,,,,,,,,,
Ken,Ace,,,,0.0,1.0,1.0,0.0,,,,,,,,
Ken,Kelly,,,,1.0,1.0,0.0,,,,,,,,,
