,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rick,Ron,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,
Rick,Julia,,,,,,,0.0,0.0,0.0,,,,,,,,
Rick,Eric,,,,,,,0.0,1.0,,,,,,,,,
Rick,Joe,,,,,,,0.0,,,,,,,,,,
Lauren,Aurora,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,
Lauren,Ron,,,,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,
Lauren,Julia,,,,,,,0.0,1.0,0.0,,,,,,,,
Lauren,Joe,,,,,,,1.0,,,,,,,,,,
Victoria,Aurora,,,,,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,
Victoria,Ron,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,
Victoria,Julia,,,,,,,1.0,1.0,0.0,,,,,,,,
Victoria,Joe,,,,,,,0.0,,,,,,,,,,
Aurora,Ron,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,
Aurora,Wardog,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,,,,,
Aurora,Kelley,,,,,,,1.0,1.0,0.0,1.0,0.0,,,,,,
Aurora,David,,,,,,,0.0,1.0,0.0,0.0,,,,,,,
Aurora,Julia,,,,,,,0.0,1.0,1.0,,,,,,,,
Aurora,Eric,,,,,,,0.0,0.0,,,,,,,,,
Aurora,Joe,,,,,,,1.0,,,,,,,,,,
Ron,Wardog,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,,,,,
Ron,Kelley,,,,,,,0.0,0.0,1.0,1.0,0.0,,,,,,
Ron,David,,,,,,,0.0,0.0,1.0,0.0,,,,,,,
Ron,Julia,,,,,,,1.0,0.0,0.0,,,,,,,,
Ron,Eric,,,,,,,1.0,1.0,,,,,,,,,
Ron,Joe,,,,,,,0.0,,,,,,,,,,
Wardog,Julia,,,,,,,0.0,1.0,0.0,,,,,,,,
Wardog,Joe,,,,,,,1.0,,,,,,,,,,
Kelley,Julia,,,,,,,0.0,1.0,0.0,,,,,,,,
Kelley,Joe,,,,,,,1.0,,,,,,,,,,
David,Julia,,,,,,,0.0,1.0,0.0,,,,,,,,
David,Joe,,,,,,,0.0,,,,,,,,,,
Julia,Eric,,,,,,,1.0,0.0,,,,,,,,,
Julia,Joe,,,,,,,0.0,,,,,,,,,,
Eric,Joe,,,,,,,0.0,,,,,,,,,,
Chris,Gavin,,,,,,,,,,,,,,,0.0,0.0,
Chris,Julie,,,,,,,,,,,,,,,0.0,0.0,
Chris,Victoria,,,,,,,,,,,,,,,0.0,,
