,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Expanded Tribe,Tribe Affiliation Merged Tribe,Finish,Edge ofExtinction Status,VotesAgainst,Place,Returnee
0,Reem Daly,Reem,[],46,Ashburn,VA,Sales Representative,Manu,,,1st Voted OutDay 3,Eliminated1st Jury MemberDay 35,4,18.0,False
1,Keith Sowell,Keith,[],19,Durham,NC,Pre-Med Student,Manu,,,2nd Voted OutDay 6,QuitDay 17,6,17.0,False
2,Aubry Bracco,Aubry,"['Kaôh Rōng', 'Game Changers']",32,Los Angeles,CA,,Kama,Manu,,5th Voted OutDay 13,Eliminated2nd Jury MemberDay 35,4,16.0,True
3,Wendy Diaz,Wendy,[],25,Bell,CA,Small Business Owner,Manu,Manu,,6th Voted OutDay 16,QuitDay 17,15,15.0,False
4,Joe Anglim,Joe,"['Worlds Apart', 'Cambodia']",29,Ogden,UT,,Kama,Kama,Vata,7th Voted Out3rd Jury MemberDay 19,EliminatedDay 35,6,14.0,True
5,Eric Hafemann,Eric,[],35,Livermore,CA,Firefighter,Kama,Manu,Vata,8th Voted Out4th Jury MemberDay 22,EliminatedDay 35,8,13.0,False
6,Julia Carter,Julia,[],25,Bethesda,MD,Medical Assistant,Kama,Kama,Vata,9th Voted Out5th Jury MemberDay 23,EliminatedDay 35,9,12.0,False
7,David Wright,David,['Millennials vs. Gen X'],44,Sherman Oaks,CA,,Manu,Lesu,Vata,10th Voted Out6th Jury MemberDay 25,EliminatedDay 35,12,11.0,True
8,Kelley Wentworth,Kelley,"['San Juan del Sur', 'Cambodia']",31,Seattle,WA,,Manu,Lesu,Vata,11th Voted Out7th Jury MemberDay 27,EliminatedDay 35,14,10.0,True
9,Wardog DaSilva,Wardog,[],38,Los Angeles,CA,Law Student/Former Military,Manu,Lesu,Vata,12th Voted Out8th Jury MemberDay 29,EliminatedDay 35,8,9.0,False
10,Ron Clark,Ron,[],46,Atlanta,GA,Teacher,Kama,Kama,Vata,13th Voted Out9th Jury MemberDay 31,EliminatedDay 35,3,8.0,False
11,Aurora McCreary,Aurora,[],32,Orlando,FL,Divorce Lawyer,Kama,Kama,Vata,14th Voted Out10th Jury MemberDay 34,EliminatedDay 35,12,7.0,False
12,Victoria Baamonde,Victoria,[],23,Bronx,NY,Waitress,Kama,Manu,Vata,15th Voted Out11th Jury MemberDay 36,,2,6.0,False
13,Lauren O'Connell,Lauren,[],21,Waco,TX,Student,Manu,Lesu,Vata,16th Voted Out12th Jury MemberDay 37,,11,5.0,False
14,Rick Devens,Rick,[],34,Macon,GA,Morning News Anchor,Manu,Lesu,Vata,"['4th Voted OutDay 11', 'Eliminated13th Jury MemberDay 38']","['1st ReturneeDay 17', '']",12,4.0,False
15,Julie Rosenberg,Julie,[],46,New York City,NY,Toymaker,Kama,Kama,Vata,SecondRunner-Up,,1,3.0,False
16,Gavin Whitson,Gavin,[],23,Erwin,TN,YMCA Program Director,Kama,Manu,Vata,Runner-Up,,0,2.0,False
17,Chris Underwood,Chris,[],25,Greenville,SC,District Sales Manager,Manu,,Vata,"['3rd Voted OutDay 8', 'Sole Survivor']","['2nd ReturneeRemoved from JuryDay 35', '']",9,1.0,False
