,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Katrina Radke,Katrina,[],46,Excelsior,MN,Olympian,Levu,,,1st Voted OutDay 3,5,18.0,False
1,Simone Nguyen,Simone,[],25,New York City,NY,Diversity Advocate,Yawa,,,2nd Voted OutDay 6,5,17.0,False
2,Patrick Bolton,Patrick,[],25,Auburn,AL,Small Business Owner,Yawa,,,3rd Voted OutDay 8,5,16.0,False
3,Alan Ball,Alan,[],32,Houston,TX,NFL Player,Levu,Levu,,4th Voted OutDay 11,2,15.0,False
4,Roark Luskin,Roark,[],27,Santa Monica,CA,Social Worker,Soko,Soko,,5th Voted OutDay 14,3,14.0,False
5,Ali Elliott,Ali,[],24,Los Angeles,CA,Celebrity Assistant ,Yawa,Soko,,6th Voted OutDay 16,3,13.0,False
6,Jessica Johnston,Jessica,[],29,Louisville,KY,Nurse Practitioner,Soko,Yawa,Solewa,7th Voted OutDay 19,7,12.0,False
7,Desi Williams,Desi,[],27,Newport News,VA,Physical Therapist,Soko,Levu,Solewa,8th Voted Out1st Jury MemberDay 21,11,11.0,False
8,Cole Medders,Cole,[],24,Little Rock,AR,Wilderness Therapy Guide,Soko,Yawa,Solewa,9th Voted Out2nd Jury MemberDay 24,7,10.0,False
9,JP Hilsabeck,JP,[],28,Los Angeles,CA,Firefighter,Levu,Soko,Solewa,10th Voted Out3rd Jury MemberDay 27,6,9.0,False
10,Joe Mena,Joe,[],34,Tolland,CT,Probation Officer,Soko,Levu,Solewa,11th Voted Out4th Jury MemberDay 30,12,8.0,False
11,Lauren Rimmer,Lauren,[],35,Beaufort,NC,Fisherman,Yawa,Yawa,Solewa,12th Voted Out5th Jury MemberDay 33,3,7.0,False
12,Ashley Nolan,Ashley,[],26,Satellite Beach,FL,Lifeguard,Levu,Levu,Solewa,13th Voted Out6th Jury MemberDay 36,8,6.0,False
13,Mike Zahalsky,Mike,[],43,Parkland,FL,Urologist,Soko,Yawa,Solewa,14th Voted Out7th Jury MemberDay 37,9,5.0,False
14,Devon Pinto,Devon,[],24,Solana Beach,CA,Surf Instructor,Yawa,Levu,Solewa,Eliminated8th Jury MemberDay 38,2,4.0,False
15,Ryan Ulrich,Ryan,[],23,North Arlington,NJ,Bellhop,Yawa,Soko,Solewa,SecondRunner-Up,2,3.0,False
16,Chrissy Hofbeck,Chrissy,[],46,Lebanon Township,NJ,Actuary,Levu,Soko,Solewa,Runner-Up,7,2.0,False
17,Ben Driebergen,Ben,[],34,Boise,ID,Marine,Levu,Yawa,Solewa,Sole Survivor,11,1.0,False
