,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ben,Chrissy,1.0,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
Ben,Ashley,1.0,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,
Ben,JP,1.0,,,,,,1.0,1.0,0.0,1.0,,,,,
Ben,Alan,1.0,,,,,,,,,,,,,,
Ben,Katrina,0.0,,,,,,,,,,,,,,
Chrissy,Ashley,1.0,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,
Chrissy,JP,1.0,,,,1.0,1.0,1.0,0.0,1.0,1.0,,,,,
Chrissy,Alan,1.0,,,,,,,,,,,,,,
Chrissy,Katrina,0.0,,,,,,,,,,,,,,
Ashley,JP,1.0,,,,,,1.0,0.0,0.0,0.0,,,,,
Ashley,Alan,1.0,,,1.0,,,,,,,,,,,
Ashley,Katrina,0.0,,,,,,,,,,,,,,
JP,Alan,1.0,,,,,,,,,,,,,,
JP,Katrina,0.0,,,,,,,,,,,,,,
Alan,Katrina,0.0,,,,,,,,,,,,,,
Ryan,Devon,,1.0,1.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,
Ryan,Lauren,,1.0,1.0,,,,1.0,,1.0,0.0,0.0,1.0,,,
Ryan,Ali,,1.0,1.0,,0.0,0.0,,,,,,,,,
Ryan,Patrick,,1.0,0.0,,,,,,,,,,,,
Ryan,Simone,,0.0,,,,,,,,,,,,,
Devon,Lauren,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,
Devon,Ali,,1.0,1.0,,,,,,,,,,,,
Devon,Patrick,,1.0,0.0,,,,,,,,,,,,
Devon,Simone,,0.0,,,,,,,,,,,,,
Lauren,Ali,,1.0,1.0,,,,,,,,,,,,
Lauren,Patrick,,1.0,0.0,,,,,,,,,,,,
Lauren,Simone,,0.0,,,,,,,,,,,,,
Ali,Patrick,,1.0,0.0,,,,,,,,,,,,
Ali,Simone,,0.0,,,,,,,,,,,,,
Patrick,Simone,,0.0,,,,,,,,,,,,,
Ashley,Joe,,,,0.0,,,0.0,0.0,1.0,1.0,0.0,,,,
Ashley,Desi,,,,0.0,,,0.0,0.0,,,,,,,
Joe,Desi,,,,1.0,,,1.0,0.0,,,,,,,
Joe,Alan,,,,0.0,,,,,,,,,,,
Desi,Alan,,,,0.0,,,,,,,,,,,
Chrissy,Ryan,,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
Chrissy,Ali,,,,,0.0,0.0,,,,,,,,,
Chrissy,Roark,,,,,0.0,,,,,,,,,,
Ryan,JP,,,,,1.0,1.0,1.0,1.0,0.0,1.0,,,,,
Ryan,Roark,,,,,0.0,,,,,,,,,,
JP,Ali,,,,,0.0,0.0,,,,,,,,,
JP,Roark,,,,,0.0,,,,,,,,,,
Ali,Roark,,,,,1.0,,,,,,,,,,
Ben,Ryan,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
Ben,Devon,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,
Ben,Mike,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
Ben,Lauren,,,,,,,1.0,,1.0,0.0,1.0,0.0,,,
Ben,Joe,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,
Ben,Cole,,,,,,,0.0,0.0,0.0,,,,,,
Ben,Desi,,,,,,,0.0,0.0,,,,,,,
Ben,Jessica,,,,,,,0.0,,,,,,,,
Chrissy,Devon,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
Chrissy,Mike,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,
Chrissy,Lauren,,,,,,,1.0,,0.0,0.0,0.0,1.0,,,
Chrissy,Joe,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
Chrissy,Cole,,,,,,,0.0,1.0,1.0,,,,,,
Chrissy,Desi,,,,,,,0.0,0.0,,,,,,,
Chrissy,Jessica,,,,,,,0.0,,,,,,,,
Ryan,Mike,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,
Ryan,Ashley,,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,
Ryan,Joe,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,
Ryan,Cole,,,,,,,0.0,0.0,0.0,,,,,,
Ryan,Desi,,,,,,,0.0,0.0,,,,,,,
Ryan,Jessica,,,,,,,0.0,,,,,,,,
Devon,Mike,,,,,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,
Devon,Ashley,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,
Devon,Joe,,,,,,,0.0,0.0,1.0,1.0,0.0,,,,
Devon,JP,,,,,,,1.0,1.0,0.0,0.0,,,,,
Devon,Cole,,,,,,,0.0,0.0,0.0,,,,,,
Devon,Desi,,,,,,,0.0,0.0,,,,,,,
Devon,Jessica,,,,,,,0.0,,,,,,,,
Mike,Ashley,,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,
Mike,Lauren,,,,,,,0.0,,1.0,1.0,0.0,1.0,,,
Mike,Joe,,,,,,,1.0,0.0,1.0,1.0,1.0,,,,
Mike,JP,,,,,,,0.0,0.0,0.0,0.0,,,,,
Mike,Cole,,,,,,,1.0,1.0,0.0,,,,,,
Mike,Desi,,,,,,,1.0,0.0,,,,,,,
Mike,Jessica,,,,,,,1.0,,,,,,,,
Ashley,Lauren,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,
Ashley,Cole,,,,,,,0.0,1.0,0.0,,,,,,
Ashley,Jessica,,,,,,,0.0,,,,,,,,
Lauren,Joe,,,,,,,0.0,,1.0,1.0,0.0,,,,
Lauren,JP,,,,,,,1.0,,0.0,0.0,,,,,
Lauren,Cole,,,,,,,0.0,,0.0,,,,,,
Lauren,Desi,,,,,,,0.0,,,,,,,,
Lauren,Jessica,,,,,,,0.0,,,,,,,,
Joe,JP,,,,,,,0.0,0.0,0.0,0.0,,,,,
Joe,Cole,,,,,,,1.0,0.0,0.0,,,,,,
Joe,Jessica,,,,,,,1.0,,,,,,,,
JP,Cole,,,,,,,0.0,0.0,1.0,,,,,,
JP,Desi,,,,,,,0.0,0.0,,,,,,,
JP,Jessica,,,,,,,0.0,,,,,,,,
Cole,Desi,,,,,,,1.0,0.0,,,,,,,
Cole,Jessica,,,,,,,1.0,,,,,,,,
Desi,Jessica,,,,,,,1.0,,,,,,,,
