,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Jim Lynch,Jim,[],63,Northglenn,CO,Retired Fire Captain,Nakúm,,,1st Voted OutDay 3,8,18.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,8
1,Morgan McDevitt,Morgan,[],21,Decatur,IL,Magician's Assistant,Yaxhá,,,2nd Voted OutDay 6,8,17.0,False,False,False,2,False,2,1,0,0,3,2,1,1,0,0,1,0.5,,0,8
2,Brianna Varela,Brian,[],21,Edmonds,WA,Retail Salesperson,Yaxhá,,,3rd Voted OutDay 8,7,16.0,False,False,False,7,False,5,2,1,0,8,7,3,4,0,3,1,0.3333333333333333,,0,7
6,Brian Corridan,Brian,[],22,New York City,NY,Ivy League Student,Yaxhá,Yaxhá,,7th Voted OutDay 15,7,12.0,False,False,False,7,False,5,2,1,0,8,7,3,4,0,3,1,0.3333333333333333,,0,7
3,Brooke Struck,Brooke,[],25,Hood River,OR,Law Student,Nakúm,Nakúm,,4th Voted OutDay 11,5,15.0,False,False,False,4,False,4,2,0,0,5,4,2,2,0,1,1,0.5,,0,5
4,Blake Towsley,Blake,[],24,Dallas,TX,Real Estate Broker,Nakúm,Yaxhá,,5th Voted OutDay 14,5,14.0,False,False,False,5,False,5,3,0,0,6,5,3,2,0,1,1,0.6,,0,5
5,Margaret Bobonich,Margaret,[],43,Chardon,OH,Nursing Practitioner,Nakúm,Nakúm,,6th Voted OutDay 15,7,13.0,False,False,False,6,False,5,3,1,0,7,6,3,3,0,1,2,0.5,,0,7
7,Amy O'Hara,Amy,[],39,Revere,MA,Police Sargeant,Yaxhá,Yaxhá,,8th Voted OutDay 18,4,11.0,False,False,False,8,False,6,2,1,0,9,8,3,6,-1,4,1,0.2857142857142857,,0,4
8,Brandon Bellinger,Brandon,[],22,Manhattan,KS,Farmer,Nakúm,Yaxhá,Xhakúm,9th Voted OutDay 21,6,10.0,False,False,False,9,True,6,3,2,0,10,9,4,5,0,3,2,0.375,0.0,0,6
9,Bobby Jon Drinkard,Bobby Jon,['Palau'],28,Los Angeles,CA,,Nakúm,Yaxhá,Xhakúm,10th Voted Out1st Jury MemberDay 24,8,9.0,True,False,False,10,True,6,3,3,0,11,10,4,6,0,4,2,0.3333333333333333,0.0,0,8
10,Jamie Newton,Jamie,[],24,North Hollywood,CA,Water Skiing Instructor,Yaxhá,Nakúm,Xhakúm,11th Voted Out2nd Jury MemberDay 27,10,8.0,False,False,False,11,True,6,3,4,1,12,11,4,7,0,6,1,1.1,2.6666666666666665,0,10
11,Gary Hogeboom,Gary,[],46,Grand Haven,MI,Former NFL Quarterback,Yaxhá,Yaxhá,Xhakúm,12th Voted Out3rd Jury MemberDay 30,8,7.0,False,False,False,12,True,6,2,5,1,13,12,3,10,-1,6,3,1.0,2.25,0,8
12,Judd Sergeant,Judd,[],34,Ridgefield,NJ,Hotel Doorman,Nakúm,Nakúm,Xhakúm,13th Voted Out4th Jury MemberDay 33,5,6.0,False,False,False,13,True,6,4,6,0,14,13,5,8,0,6,2,0.3333333333333333,0.0,0,5
13,Cindy Hall,Cindy,[],30,Naples,FL,Zookeeper,Nakúm,Nakúm,Xhakúm,14th Voted Out5th Jury MemberDay 36,6,5.0,False,False,False,14,True,6,4,7,0,15,14,5,9,0,6,3,0.3076923076923077,0.0,0,6
14,Lydia Morales,Lydia,[],42,Lakewood,WA,Fishmonger,Yaxhá,Nakúm,Xhakúm,15th Voted Out6th Jury MemberDay 37,10,4.0,False,False,False,15,True,6,3,8,0,16,15,4,11,0,10,1,0.21428571428571427,0.0,0,10
15,Rafe Judkins,Rafe,[],22,Pittsburgh,PA,Wilderness Guide,Yaxhá,Nakúm,Xhakúm,16th Voted Out7th Jury MemberDay 38,2,3.0,False,False,False,16,True,6,3,9,4,17,16,4,11,1,11,0,1.6666666666666667,2.0,0,2
16,Stephenie LaGrossa,Stephenie,['Palau'],25,Tom's River,NJ,,Yaxhá,Nakúm,Xhakúm,Runner-Up,2,2.0,True,False,True,17,True,6,3,9,1,18,16,4,11,1,11,0,0.4666666666666667,0.5,1,2
17,Danni Boatwright,Danni,[],29,Tonganoxie,KS,Sports Radio Host,Nakúm,Yaxhá,Xhakúm,Sole Survivor,1,1.0,False,True,True,17,True,6,3,9,2,18,16,4,12,0,10,2,0.6666666666666666,0.875,6,1
