,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Rating/Share(18-49),Immunity_2
0,1,"""Big Trek, Big Trouble, Big Surprise""","September 15, 2005",Nakúm,Yaxhá,"['Jim', '8-1']",1st Voted OutDay 3,18.41,6.6/19,['Yaxhá']
1,2,"""Man Down""","September 22, 2005",Nakúm,Nakúm,"['Morgan', '8-1']",2nd Voted OutDay 6,16.98,6.1/17,['Nakúm']
2,3,"""The Brave May Not Live Long, but the Cautious Don't Live at All""","September 29, 2005",Nakúm,Nakúm,"['Brianna', '7-1']",3rd Voted OutDay 8,17.29,5.7/16,['Nakúm']
3,4,"""To Betray or Not to Betray""","October 6, 2005",None,Yaxhá,"['Brooke', '5-3']",4th Voted OutDay 11,17.92,6.3/17,['Yaxhá']
4,5,"""Crocs, Cowboys and City Slickers""","October 13, 2005",Yaxhá,Nakúm,"['Blake', '5-2']",5th Voted OutDay 14,17.85,6.5/18,['Nakúm']
5,6,"""Big Ball, Big Mouth, Big Trouble""","October 20, 2005",Nakúm,Rafe,"['Margaret', '6-1']",6th Voted OutDay 15,17.78,6.1/17,['Rafe']
6,6,"""Big Ball, Big Mouth, Big Trouble""","October 20, 2005",Nakúm,[Gary],"['Brian', '5-1']",7th Voted OutDay 15,17.78,6.1/17,['']
7,7,"""Surprise Enemy Visit""","October 27, 2005",Yaxhá,Nakúm,"['Amy', '4-1']",8th Voted OutDay 18,17.38,6.2/17,['Nakúm']
8,8,"""The Hidden Immunity Idol""","November 3, 2005",None,Gary,"['Brandon', '6-4']",9th Voted OutDay 21,18.28,6.6/17,['Gary']
9,9,"""Secrets and Lies and an Idol Surprise""","November 10, 2005","Judd[Bobby Jon,Stephenie]",Jamie,"['Bobby Jon', '6-2-1']",10th Voted Out1st Jury MemberDay 24,18.98,6.9/19,['Jamie']
10,10,"""Eating and Sleeping with the Enemy""","November 17, 2005","Danni,Gary, Judd,Stephenie",Rafe,"['Jamie', '6-2']",11th Voted Out2nd Jury MemberDay 27,18.82,6.4/17,['Rafe']
11,11,"""Everything Is Personal""","November 24, 2005",Cindy[Rafe],Rafe,"['Gary', '6-1']",12th Voted Out3rd Jury MemberDay 30,19.54,6.6/20,['Rafe']
12,12,"""Price for Immunity""","December 1, 2005",SurvivorAuction,Danni,"['Judd', '4-2']",13th Voted Out4th Jury MemberDay 33,20.21,7.0/N/A,['Danni']
13,13,"""Big Win, Big Decision, Big Mistake?""","December 8, 2005",Cindy[Stephenie],Stephenie,"['Cindy', '4-1']",14th Voted Out5th Jury MemberDay 36,19.82,7.1/19,['Stephenie']
14,14,"""Thunder Storms and Sacrifice""","December 11, 2005",None,Rafe,"['Lydia', '3-1']",15th Voted Out6th Jury MemberDay 37,21.18,7.7/17,['Rafe']
15,14,"""Thunder Storms and Sacrifice""","December 11, 2005",None,Danni,"['Rafe', '1-0']",16th Voted Out7th Jury MemberDay 38,21.18,7.7/17,['Danni']
16,14,"""Thunder Storms and Sacrifice""","December 11, 2005",Jury Vote,Jury Vote,"['Stephenie', '6-1']",Runner-Up,21.18,7.7/17,[]
17,14,"""Thunder Storms and Sacrifice""","December 11, 2005",Jury Vote,Jury Vote,"['Danni', '6-1']",Sole Survivor,21.18,7.7/17,[]
18,15,"""Reunion""","December 11, 2005",,,,,15.21,5.7/14,[]
