,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Danni,Cindy,1.0,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,,
Danni,Judd,1.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,
Danni,Bobby Jon,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,
Danni,Brandon,1.0,,,,0.0,,1.0,1.0,1.0,,,,,,,
Danni,Margaret,1.0,,,,,,,,,,,,,,,
Danni,Blake,1.0,,,,0.0,,,,,,,,,,,
Danni,Brooke,1.0,,,,,,,,,,,,,,,
Danni,Jim,0.0,,,,,,,,,,,,,,,
Cindy,Judd,1.0,,,0.0,,1.0,,,1.0,1.0,0.0,1.0,1.0,,,
Cindy,Bobby Jon,1.0,,,,,,,,0.0,0.0,,,,,,
Cindy,Brandon,1.0,,,,,,,,0.0,,,,,,,
Cindy,Margaret,1.0,,,1.0,,0.0,,,,,,,,,,
Cindy,Blake,1.0,,,,,,,,,,,,,,,
Cindy,Brooke,1.0,,,1.0,,,,,,,,,,,,
Cindy,Jim,0.0,,,,,,,,,,,,,,,
Judd,Bobby Jon,1.0,,,,,,,,0.0,0.0,,,,,,
Judd,Brandon,1.0,,,,,,,,0.0,,,,,,,
Judd,Margaret,1.0,,,0.0,,0.0,,,,,,,,,,
Judd,Blake,1.0,,,,,,,,,,,,,,,
Judd,Brooke,1.0,,,0.0,,,,,,,,,,,,
Judd,Jim,0.0,,,,,,,,,,,,,,,
Bobby Jon,Brandon,1.0,,,,0.0,,1.0,1.0,1.0,,,,,,,
Bobby Jon,Margaret,1.0,,,,,,,,,,,,,,,
Bobby Jon,Blake,1.0,,,,0.0,,,,,,,,,,,
Bobby Jon,Brooke,1.0,,,,,,,,,,,,,,,
Bobby Jon,Jim,0.0,,,,,,,,,,,,,,,
Brandon,Margaret,1.0,,,,,,,,,,,,,,,
Brandon,Blake,1.0,,,,1.0,,,,,,,,,,,
Brandon,Brooke,1.0,,,,,,,,,,,,,,,
Brandon,Jim,0.0,,,,,,,,,,,,,,,
Margaret,Blake,1.0,,,,,,,,,,,,,,,
Margaret,Brooke,1.0,,,1.0,,,,,,,,,,,,
Margaret,Jim,0.0,,,,,,,,,,,,,,,
Blake,Brooke,1.0,,,,,,,,,,,,,,,
Blake,Jim,0.0,,,,,,,,,,,,,,,
Brooke,Jim,0.0,,,,,,,,,,,,,,,
Stephenie,Rafe,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Stephenie,Lydia,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
Stephenie,Gary,,1.0,1.0,,,,,,0.0,0.0,1.0,0.0,,,,
Stephenie,Jamie,,1.0,1.0,1.0,,1.0,,,1.0,1.0,0.0,,,,,
Stephenie,Amy,,1.0,1.0,,,,,,,,,,,,,
Stephenie,Brian,,1.0,1.0,,,,,,,,,,,,,
Stephenie,Brianna,,1.0,0.0,,,,,,,,,,,,,
Stephenie,Morgan,,0.0,,,,,,,,,,,,,,
Rafe,Lydia,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
Rafe,Gary,,1.0,1.0,,,,,,0.0,0.0,1.0,0.0,,,,
Rafe,Jamie,,1.0,1.0,1.0,,1.0,,,1.0,1.0,0.0,,,,,
Rafe,Amy,,1.0,1.0,,,,,,,,,,,,,
Rafe,Brian,,1.0,1.0,,,,,,,,,,,,,
Rafe,Brianna,,1.0,0.0,,,,,,,,,,,,,
Rafe,Morgan,,0.0,,,,,,,,,,,,,,
Lydia,Gary,,1.0,1.0,,,,,,0.0,0.0,1.0,0.0,,,,
Lydia,Jamie,,1.0,1.0,1.0,,1.0,,,1.0,1.0,0.0,,,,,
Lydia,Amy,,1.0,1.0,,,,,,,,,,,,,
Lydia,Brian,,1.0,1.0,,,,,,,,,,,,,
Lydia,Brianna,,1.0,0.0,,,,,,,,,,,,,
Lydia,Morgan,,0.0,,,,,,,,,,,,,,
Gary,Jamie,,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,
Gary,Amy,,1.0,1.0,,1.0,,1.0,0.0,,,,,,,,
Gary,Brian,,1.0,1.0,,1.0,,0.0,,,,,,,,,
Gary,Brianna,,1.0,0.0,,,,,,,,,,,,,
Gary,Morgan,,0.0,,,,,,,,,,,,,,
Jamie,Amy,,1.0,1.0,,,,,,,,,,,,,
Jamie,Brian,,1.0,1.0,,,,,,,,,,,,,
Jamie,Brianna,,1.0,0.0,,,,,,,,,,,,,
Jamie,Morgan,,0.0,,,,,,,,,,,,,,
Amy,Brian,,1.0,1.0,,1.0,,0.0,,,,,,,,,
Amy,Brianna,,1.0,0.0,,,,,,,,,,,,,
Amy,Morgan,,0.0,,,,,,,,,,,,,,
Brian,Brianna,,1.0,0.0,,,,,,,,,,,,,
Brian,Morgan,,0.0,,,,,,,,,,,,,,
Brianna,Morgan,,0.0,,,,,,,,,,,,,,
Stephenie,Cindy,,,,0.0,,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,
Stephenie,Judd,,,,1.0,,1.0,,,1.0,1.0,0.0,1.0,0.0,,,
Stephenie,Margaret,,,,0.0,,0.0,,,,,,,,,,
Stephenie,Brooke,,,,0.0,,,,,,,,,,,,
Rafe,Cindy,,,,0.0,,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,
Rafe,Judd,,,,1.0,,1.0,,,1.0,1.0,0.0,1.0,0.0,,,
Rafe,Margaret,,,,0.0,,0.0,,,,,,,,,,
Rafe,Brooke,,,,0.0,,,,,,,,,,,,
Lydia,Cindy,,,,0.0,,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,
Lydia,Judd,,,,1.0,,1.0,,,1.0,1.0,0.0,1.0,0.0,,,
Lydia,Margaret,,,,0.0,,0.0,,,,,,,,,,
Lydia,Brooke,,,,0.0,,,,,,,,,,,,
Cindy,Jamie,,,,0.0,,1.0,,,1.0,1.0,0.0,,,,,
Judd,Jamie,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,
Jamie,Margaret,,,,0.0,,0.0,,,,,,,,,,
Jamie,Brooke,,,,0.0,,,,,,,,,,,,
Danni,Gary,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,,,,
Danni,Amy,,,,,1.0,,1.0,0.0,,,,,,,,
Danni,Brian,,,,,1.0,,0.0,,,,,,,,,
Gary,Bobby Jon,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,
Gary,Brandon,,,,,0.0,,1.0,1.0,1.0,,,,,,,
Gary,Blake,,,,,0.0,,,,,,,,,,,
Bobby Jon,Amy,,,,,1.0,,1.0,0.0,,,,,,,,
Bobby Jon,Brian,,,,,1.0,,0.0,,,,,,,,,
Brandon,Amy,,,,,0.0,,1.0,0.0,,,,,,,,
Brandon,Brian,,,,,0.0,,0.0,,,,,,,,,
Amy,Blake,,,,,0.0,,,,,,,,,,,
Brian,Blake,,,,,0.0,,,,,,,,,,,
Danni,Stephenie,,,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
Danni,Rafe,,,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
Danni,Lydia,,,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,
Danni,Jamie,,,,,,,,,0.0,0.0,0.0,,,,,
Stephenie,Bobby Jon,,,,,,,,,0.0,0.0,,,,,,
Stephenie,Brandon,,,,,,,,,0.0,,,,,,,
Rafe,Bobby Jon,,,,,,,,,0.0,0.0,,,,,,
Rafe,Brandon,,,,,,,,,0.0,,,,,,,
Lydia,Bobby Jon,,,,,,,,,0.0,0.0,,,,,,
Lydia,Brandon,,,,,,,,,0.0,,,,,,,
Cindy,Gary,,,,,,,,,0.0,0.0,1.0,0.0,,,,
Judd,Gary,,,,,,,,,0.0,0.0,0.0,0.0,,,,
Jamie,Bobby Jon,,,,,,,,,0.0,0.0,,,,,,
Jamie,Brandon,,,,,,,,,0.0,,,,,,,
