,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Diane Ogden,Diane,[],42,Lincoln,NE,Mail Carrier,Boran,,,1st Voted OutDay 3,6,16.0,False
1,Jessie Camacho,Jessie,[],26,Orlando,FL,Sheriff,Boran,,,2nd Voted OutDay 6,5,15.0,False
2,Carl Bilancione,Carl,[],46,Winter Springs,FL,Dentist,Samburu,,,3rd Voted OutDay 9,7,14.0,False
3,Linda Spencer,Linda,[],44,Boston,MA,Career Counselor,Samburu,,,4th Voted OutDay 12,4,13.0,False
4,Silas Gaither,Silas,[],23,Los Angeles,CA,Bartender,Samburu,Boran,,5th Voted OutDay 15,8,12.0,False
5,Lindsey Richter,Lindsey,[],26,Portland,OR,Advertising Executive,Samburu,Samburu,,6th Voted OutDay 18,12,11.0,False
6,Clarence Black,Clarence,[],24,Detroit,MI,Basketball Coach,Boran,Boran,Moto Maji,7th Voted OutDay 21,12,10.0,False
7,Kelly Goldsmith,Kelly,[],22,San Diego,CA,Behavior Analyst,Boran,Samburu,Moto Maji,8th Voted Out1st Jury MemberDay 24,5,9.0,False
8,Brandon Quinton,Brandon,[],25,Dallas,TX,Bartender,Samburu,Samburu,Moto Maji,9th Voted Out2nd Jury MemberDay 27,6,8.0,False
9,Frank Garrison,Frank,[],42,Odessa,NY,Telephone Technician,Samburu,Boran,Moto Maji,10th Voted Out3rd Jury MemberDay 30,9,7.0,False
10,Kim Powers,Kim P.,[],29,Conshohocken,PA,Freelance Marketer,Samburu,Samburu,Moto Maji,11th Voted Out4th Jury MemberDay 33,4,6.0,False
11,Teresa Cooper,Teresa,[],42,Jackson,GA,Flight Attendant,Samburu,Boran,Moto Maji,12th Voted Out5th Jury MemberDay 36,4,5.0,False
12,Tom Buchanan,Tom,[],45,Rich Valley,VA,Goat Farmer,Boran,Samburu,Moto Maji,13th Voted Out6th Jury MemberDay 37,9,4.0,False
13,Lex van den Berghe,Lex,[],38,Santa Cruz,CA,Marketing Manager,Boran,Samburu,Moto Maji,14th Voted Out7th Jury MemberDay 38,10,3.0,False
14,Kim Johnson,Kim J.,[],56,Oyster Bay,NY,Retired Teacher,Boran,Boran,Moto Maji,Runner-Up,1,2.0,False
15,Ethan Zohn,Ethan,[],27,New York City,NY,Professional Soccer Player,Boran,Boran,Moto Maji,Sole Survivor,0,1.0,False
