,Alliance_1,Tribal Count_1,Index_1,Alliance_2,Tribal Count_2,Index_2,Alliance_3,Tribal Count_3,Index_3,Alliance_4,Tribal Count_4,Index_4,Alliance_5,Tribal Count_5,Index_5
Fabio,Dan,6.0,0.6666666666666666,Chase,8.0,0.625,Sash,10.0,0.6,Benry,5.0,0.6,Holly,7.0,0.5714285714285714
Chase,Sash,8.0,1.0,NaOnka,6.0,1.0,Holly,9.0,0.8888888888888888,Kelly S.,4.0,0.75,Brenda,4.0,0.75
Sash,Chase,8.0,1.0,NaOnka,4.0,1.0,Holly,7.0,0.8571428571428571,Jane,7.0,0.7142857142857143,Kelly S.,6.0,0.6666666666666666
Holly,NaOnka,5.0,1.0,Chase,9.0,0.8888888888888888,Sash,7.0,0.8571428571428571,Jane,8.0,0.75,Benry,6.0,0.6666666666666666
Dan,Benry,6.0,1.0,Marty,5.0,1.0,NaOnka,5.0,0.8,Tyrone,4.0,0.75,Fabio,6.0,0.6666666666666666
Jane,Holly,8.0,0.75,Sash,7.0,0.7142857142857143,Chase,5.0,0.6,Jill,5.0,0.4,Kelly S.,5.0,0.4
Benry,Dan,6.0,1.0,NaOnka,6.0,0.8333333333333334,Chase,7.0,0.7142857142857143,Holly,6.0,0.6666666666666666,Fabio,5.0,0.6
Kelly S.,Brenda,6.0,1.0,Chase,4.0,0.75,NaOnka,4.0,0.75,Sash,6.0,0.6666666666666666,Fabio,6.0,0.5
NaOnka,Chase,6.0,1.0,Holly,5.0,1.0,Sash,4.0,1.0,Benry,6.0,0.8333333333333334,Dan,5.0,0.8
Brenda,Kelly S.,6.0,1.0,Chase,4.0,0.75,NaOnka,4.0,0.75,Sash,6.0,0.6666666666666666,Fabio,6.0,0.5
Marty,Dan,5.0,1.0,Jill,5.0,1.0,Holly,5.0,0.6,Fabio,4.0,0.5,Jane,7.0,0.2857142857142857
Alina,Chase,4.0,0.5,Benry,4.0,0.5,NaOnka,4.0,0.5,,,,,,
Jill,Marty,5.0,1.0,Jane,5.0,0.4,,,,,,,,,
Yve,Tyrone,4.0,1.0,Dan,5.0,0.6,Holly,5.0,0.4,,,,,,
Tyrone,Yve,4.0,1.0,Dan,4.0,0.75,Holly,4.0,0.5,,,,,,
