,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Wendy DeSmidt-Kohlhoff,Wendy,[],48,Fromberg,MT,Goat Rancher,Espada,,,1st Voted OutDay 3,9,20.0,False
1,Shannon Elkins,Shannon,[],30,Lafayette,LA,Pest Control Company Owner,La Flor,,,2nd Voted OutDay 6,7,19.0,False
2,Jimmy Johnson,Jimmy J.,[],66,Islamorada,FL,Former NFL Coach,Espada,,,3rd Voted OutDay 8,8,18.0,False
3,Jimmy Tarantino,Jimmy T.,[],47,Gloucester,MA,Commercial Fisherman,Espada,,,4th Voted OutDay 11,5,17.0,False
4,Tyrone Davis,Tyrone,[],42,Inglewood,CA,Fire Captain,Espada,Espada,,5th Voted OutDay 14,6,16.0,False
5,Kelly Bruno,Kelly B.,[],26,Durham,NC,Medical Student,La Flor,La Flor,,6th Voted OutDay 15,8,15.0,False
6,Yve Rojas,Yve,[],41,Kansas City,MO,Homemaker,Espada,Espada,,7th Voted OutDay 15,7,14.0,False
7,Jill Behm,Jill,[],43,Erie,PA,ER Doctor,Espada,La Flor,,8th Voted OutDay 18,3,13.0,False
8,Alina Wilson,Alina,[],23,Downey,CA,Art Student,La Flor,Espada,Libertad,9th Voted Out1st Jury MemberDay 22,10,12.0,False
9,Marty Piombo,Marty,[],48,Mill Valley,CA,Technology Executive,Espada,La Flor,Libertad,10th Voted Out2nd Jury MemberDay 24,15,11.0,False
10,Brenda Lowe,Brenda,[],27,Miami,FL,Paddleboard Company Owner,La Flor,La Flor,Libertad,11th Voted Out3rd Jury MemberDay 27,13,10.0,False
11,NaOnka Mixon,NaOnka,[],27,Los Angeles,CA,PE Teacher,La Flor,Espada,Libertad,Quit4th Jury MemberDay 28,3,9.0,False
12,Kelly Shinn,Kelly S.,[],20,Mesa,AZ,Nursing Student,La Flor,La Flor,Libertad,Quit5th Jury MemberDay 28,0,8.0,False
13,Benry Henry,Benry,[],23,Los Angeles,CA,Club Promoter,La Flor,Espada,Libertad,12th Voted Out6th Jury MemberDay 32,5,7.0,False
14,Jane Bright,Jane,[],56,Jackson Springs,NC,Dog Trainer,Espada,La Flor,Libertad,13th Voted Out7th Jury MemberDay 36,11,6.0,False
15,Dan Lembo,Dan,[],63,Water Mill,NY,Real Estate Executive,Espada,Espada,Libertad,14th Voted Out8th Jury MemberDay 37,9,5.0,False
16,Holly Hoffman,Holly,[],44,Eureka,SD,Swim Coach,Espada,Espada,Libertad,15th Voted Out9th Jury MemberDay 38,4,4.0,False
17,Sash Lenahan,Sash,[],30,New York City,NY,Real Estate Broker,La Flor,La Flor,Libertad,SecondRunner-Up,2,3.0,False
18,Chase Rice,Chase,[],24,Fairview,NC,Professional Racecar Jackman,La Flor,Espada,Libertad,Runner-Up,1,2.0,False
19,Fabio Birza,Fabio,[],21,Venice,CA,Student,La Flor,La Flor,Libertad,Sole Survivor,2,1.0,False
