,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Wendy DeSmidt-Kohlhoff,Wendy,[],48,Fromberg,MT,Goat Rancher,Espada,,,1st Voted OutDay 3,9,20.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,9
1,Shannon Elkins,Shannon,[],30,Lafayette,LA,Pest Control Company Owner,La Flor,,,2nd Voted OutDay 6,7,19.0,False,False,False,2,False,2,1,0,0,3,2,1,1,0,0,1,0.5,,0,7
2,Jimmy Johnson,Jimmy J.,[],66,Islamorada,FL,Former NFL Coach,Espada,,,3rd Voted OutDay 8,8,18.0,False,False,False,3,False,3,1,0,0,4,3,1,2,0,1,1,0.3333333333333333,,0,8
3,Jimmy Tarantino,Jimmy T.,[],47,Gloucester,MA,Commercial Fisherman,Espada,,,4th Voted OutDay 11,5,17.0,False,False,False,4,False,4,1,0,0,5,4,1,3,0,2,1,0.25,,0,5
4,Tyrone Davis,Tyrone,[],42,Inglewood,CA,Fire Captain,Espada,Espada,,5th Voted OutDay 14,6,16.0,False,False,False,5,False,5,1,0,0,6,5,1,4,0,3,1,0.2,,0,6
5,Kelly Bruno,Kelly B.,[],26,Durham,NC,Medical Student,La Flor,La Flor,,6th Voted OutDay 15,8,15.0,False,False,False,6,False,5,4,1,0,7,6,4,2,0,1,1,0.6666666666666666,,0,3
6,Yve Rojas,Yve,[],41,Kansas City,MO,Homemaker,Espada,Espada,,7th Voted OutDay 15,7,14.0,False,False,False,7,False,5,1,2,0,8,7,2,5,0,3,2,0.14285714285714285,,0,7
7,Jill Behm,Jill,[],43,Erie,PA,ER Doctor,Espada,La Flor,,8th Voted OutDay 18,3,13.0,False,False,False,8,False,6,2,2,1,9,8,3,5,0,3,2,1.125,,0,3
8,Alina Wilson,Alina,[],23,Downey,CA,Art Student,La Flor,Espada,Libertad,9th Voted Out1st Jury MemberDay 22,10,12.0,False,False,False,9,True,6,4,3,0,10,9,5,4,0,2,2,0.4444444444444444,0.0,0,10
9,Marty Piombo,Marty,[],48,Mill Valley,CA,Technology Executive,Espada,La Flor,Libertad,10th Voted Out2nd Jury MemberDay 24,15,11.0,False,False,False,10,True,6,2,4,0,11,10,3,7,0,4,3,0.2,0.0,0,14
10,Brenda Lowe,Brenda,[],27,Miami,FL,Paddleboard Company Owner,La Flor,La Flor,Libertad,11th Voted Out3rd Jury MemberDay 27,13,10.0,False,False,False,11,True,6,4,5,1,12,11,5,6,0,5,1,1.2727272727272727,3.3333333333333335,0,13
11,NaOnka Mixon,NaOnka,[],27,Los Angeles,CA,PE Teacher,La Flor,Espada,Libertad,Quit4th Jury MemberDay 28,3,9.0,False,False,False,12,True,6,4,5,0,12,11,5,6,0,6,0,0.36363636363636365,0.0,0,3
12,Kelly Shinn,Kelly S.,[],20,Mesa,AZ,Nursing Student,La Flor,La Flor,Libertad,Quit5th Jury MemberDay 28,0,8.0,False,False,False,13,True,6,4,5,0,12,11,5,6,0,5,1,0.36363636363636365,0.0,0,0
13,Benry Henry,Benry,[],23,Los Angeles,CA,Club Promoter,La Flor,Espada,Libertad,12th Voted Out6th Jury MemberDay 32,5,7.0,False,False,False,14,True,6,4,6,0,15,12,5,7,0,5,2,0.3333333333333333,0.0,0,5
14,Jane Bright,Jane,[],56,Jackson Springs,NC,Dog Trainer,Espada,La Flor,Libertad,13th Voted Out7th Jury MemberDay 36,11,6.0,False,False,False,15,True,6,2,7,2,16,13,3,10,0,5,5,1.2307692307692308,2.8,0,11
15,Dan Lembo,Dan,[],63,Water Mill,NY,Real Estate Executive,Espada,Espada,Libertad,14th Voted Out8th Jury MemberDay 37,9,5.0,False,False,False,16,True,6,2,8,0,17,14,3,11,0,8,3,0.14285714285714285,0.0,0,9
16,Holly Hoffman,Holly,[],44,Eureka,SD,Swim Coach,Espada,Espada,Libertad,15th Voted Out9th Jury MemberDay 38,4,4.0,False,False,False,17,True,6,2,9,1,18,15,3,12,0,10,2,0.5333333333333333,0.0,0,4
17,Sash Lenahan,Sash,[],30,New York City,NY,Real Estate Broker,La Flor,La Flor,Libertad,SecondRunner-Up,2,3.0,False,False,True,18,True,6,4,9,1,19,15,5,10,0,9,1,0.6666666666666666,0.8571428571428571,0,2
18,Chase Rice,Chase,[],24,Fairview,NC,Professional Racecar Jackman,La Flor,Espada,Libertad,Runner-Up,1,2.0,False,False,True,18,True,6,4,9,0,19,15,5,10,0,10,0,0.26666666666666666,0.0,4,1
19,Fabio Birza,Fabio,[],21,Venice,CA,Student,La Flor,La Flor,Libertad,Sole Survivor,2,1.0,False,True,True,18,True,6,4,9,4,19,15,5,10,0,6,4,1.4,2.4285714285714284,5,2
