,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Brian,Clay,1.0,1.0,,1.0,,,,,1.0,0.0,1.0,1.0,1.0,
Brian,Jan,1.0,1.0,,0.0,,,,,1.0,1.0,1.0,1.0,1.0,
Brian,Helen,0.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,0.0,
Brian,Ted,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,0.0,,
Brian,Ghandia,1.0,0.0,,0.0,,,,,,,,,,
Brian,Tanya,1.0,0.0,,,,,,,,,,,,
Brian,John,0.0,,,,,,,,,,,,,
Clay,Jan,1.0,1.0,,0.0,,,,,1.0,0.0,1.0,1.0,1.0,
Clay,Helen,0.0,1.0,,1.0,,,,,1.0,0.0,1.0,1.0,0.0,
Clay,Ted,1.0,1.0,,1.0,,,,,1.0,0.0,1.0,0.0,,
Clay,Ghandia,1.0,0.0,,0.0,,,,,,,,,,
Clay,Tanya,1.0,0.0,,,,,,,,,,,,
Clay,John,0.0,,,,,,,,,,,,,
Jan,Helen,0.0,1.0,,0.0,,,,,1.0,1.0,1.0,1.0,0.0,
Jan,Ted,1.0,1.0,,0.0,,,,,1.0,1.0,1.0,0.0,,
Jan,Ghandia,1.0,0.0,,1.0,,,,,,,,,,
Jan,Tanya,1.0,0.0,,,,,,,,,,,,
Jan,John,0.0,,,,,,,,,,,,,
Helen,Ted,0.0,1.0,,1.0,,,,,1.0,1.0,1.0,0.0,,
Helen,Ghandia,0.0,0.0,,0.0,,,,,,,,,,
Helen,Tanya,0.0,0.0,,,,,,,,,,,,
Helen,John,1.0,,,,,,,,,,,,,
Ted,Ghandia,1.0,0.0,,0.0,,,,,,,,,,
Ted,Tanya,1.0,0.0,,,,,,,,,,,,
Ted,John,0.0,,,,,,,,,,,,,
Ghandia,Tanya,1.0,1.0,,,,,,,,,,,,
Ghandia,John,0.0,,,,,,,,,,,,,
Tanya,John,0.0,,,,,,,,,,,,,
Jake,Penny,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,,,,
Jake,Ken,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,
Jake,Erin,,,1.0,,1.0,1.0,1.0,0.0,,,,,,
Jake,Shii Ann,,,1.0,,1.0,1.0,0.0,,,,,,,
Jake,Robb,,,0.0,,0.0,0.0,,,,,,,,
Jake,Stephanie,,,0.0,,0.0,,,,,,,,,
Jake,Jed,,,0.0,,,,,,,,,,,
Penny,Ken,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,
Penny,Erin,,,1.0,,1.0,1.0,1.0,0.0,,,,,,
Penny,Shii Ann,,,1.0,,1.0,1.0,0.0,,,,,,,
Penny,Robb,,,0.0,,0.0,0.0,,,,,,,,
Penny,Stephanie,,,0.0,,0.0,,,,,,,,,
Penny,Jed,,,0.0,,,,,,,,,,,
Ken,Erin,,,1.0,,1.0,1.0,1.0,0.0,,,,,,
Ken,Shii Ann,,,1.0,,1.0,1.0,0.0,,,,,,,
Ken,Robb,,,0.0,,0.0,0.0,,,,,,,,
Ken,Stephanie,,,0.0,,0.0,,,,,,,,,
Ken,Jed,,,0.0,,,,,,,,,,,
Erin,Shii Ann,,,1.0,,1.0,1.0,0.0,,,,,,,
Erin,Robb,,,0.0,,0.0,0.0,,,,,,,,
Erin,Stephanie,,,0.0,,0.0,,,,,,,,,
Erin,Jed,,,0.0,,,,,,,,,,,
Shii Ann,Robb,,,0.0,,0.0,0.0,,,,,,,,
Shii Ann,Stephanie,,,0.0,,0.0,,,,,,,,,
Shii Ann,Jed,,,0.0,,,,,,,,,,,
Robb,Stephanie,,,1.0,,1.0,,,,,,,,,
Robb,Jed,,,1.0,,,,,,,,,,,
Stephanie,Jed,,,1.0,,,,,,,,,,,
Brian,Jake,,,,,,,,,0.0,0.0,0.0,,,
Brian,Penny,,,,,,,,,0.0,0.0,,,,
Brian,Ken,,,,,,,,,0.0,,,,,
Clay,Jake,,,,,,,,,0.0,0.0,0.0,,,
Clay,Penny,,,,,,,,,0.0,1.0,,,,
Clay,Ken,,,,,,,,,0.0,,,,,
Jan,Jake,,,,,,,,,0.0,0.0,0.0,,,
Jan,Penny,,,,,,,,,0.0,0.0,,,,
Jan,Ken,,,,,,,,,0.0,,,,,
Helen,Jake,,,,,,,,,0.0,0.0,0.0,,,
Helen,Penny,,,,,,,,,0.0,0.0,,,,
Helen,Ken,,,,,,,,,0.0,,,,,
Ted,Jake,,,,,,,,,0.0,0.0,0.0,,,
Ted,Penny,,,,,,,,,0.0,0.0,,,,
Ted,Ken,,,,,,,,,0.0,,,,,
