,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,John Raymond,John,[],40,Slidell,LA,Pastor,Chuay Gahn,,1st Voted OutDay 3,6,16.0,False
1,Tanya Vance,Tanya,[],27,Gray,TN,Social Worker,Chuay Gahn,,2nd Voted OutDay 6,5,15.0,False
2,Jed Hildebrand,Jed,[],25,Dallas,TX,Dental Student,Sook Jai,,3rd Voted OutDay 9,5,14.0,False
3,Ghandia Johnson,Ghandia,[],33,Denver,CO,Legal Secretary,Chuay Gahn,,4th Voted OutDay 12,5,13.0,False
4,Stephanie Dill,Stephanie,[],29,Ozark,AR,Firefighter,Sook Jai,,5th Voted OutDay 15,5,12.0,False
5,Robb Zbacnik,Robb,[],23,Scottsdale,AZ,Bartender,Sook Jai,,6th Voted OutDay 18,5,11.0,False
6,Shii Ann Huang,Shii Ann,[],28,New York City,NY,Executive Recruiter,Sook Jai,,7th Voted OutDay 21,10,10.0,False
7,Erin Collins,Erin,[],26,Austin,TX,Real Estate Agent,Sook Jai,,8th Voted Out1st Jury MemberDay 24,3,9.0,False
8,Ken Stafford,Ken,[],29,Brooklyn,NY,Police Officer,Sook Jai,Chuay Jai,9th Voted Out2nd Jury MemberDay 27,6,8.0,False
9,Penny Ramsey,Penny,[],27,Plano,TX,Pharmaceutical Saleswoman,Sook Jai,Chuay Jai,10th Voted Out3rd Jury MemberDay 30,5,7.0,False
10,Jake Billingsley,Jake,[],60,McKinney,TX,Land Broker,Sook Jai,Chuay Jai,11th Voted Out4th Jury MemberDay 33,7,6.0,False
11,"Ted Rogers, Jr.",Ted,[],37,Durham,NC,Software Developer,Chuay Gahn,Chuay Jai,12th Voted Out5th Jury MemberDay 36,7,5.0,False
12,Helen Glover,Helen,[],47,Middletown,RI,Navy Swim Instructor,Chuay Gahn,Chuay Jai,13th Voted Out6th Jury MemberDay 37,5,4.0,False
13,Jan Gentry,Jan,[],53,Tampa,FL,Teacher,Chuay Gahn,Chuay Jai,14th Voted Out7th Jury MemberDay 38,5,3.0,False
14,Clay Jordan,Clay,[],46,Monroe,LA,Restaurant Owner,Chuay Gahn,Chuay Jai,Runner-Up,3,2.0,False
15,Brian Heidik,Brian,[],34,Quartz Hill,CA,Used Car Salesman,Chuay Gahn,Chuay Jai,Sole Survivor,0,1.0,False
