,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Lillian,Darrah,1.0,0.0,0.0,,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,
Lillian,Tijuana,1.0,0.0,0.0,,,,,,,,0.0,1.0,1.0,0.0,,,,
Lillian,Ryan O.,1.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,,
Lillian,Andrew,1.0,0.0,0.0,,,,,,,,0.0,,,,,,,
Lillian,Osten,1.0,0.0,0.0,,,,,,,,,,,,,,,
Lillian,Ryan S.,1.0,1.0,,,,,,,,,,,,,,,,
Lillian,Nicole,0.0,,,,,,,,,,,,,,,,,
Darrah,Tijuana,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,
Darrah,Ryan O.,1.0,1.0,1.0,,,,,,,,1.0,0.0,,,,,,
Darrah,Andrew,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,
Darrah,Osten,1.0,1.0,1.0,,,,,,,,,,,,,,,
Darrah,Ryan S.,1.0,0.0,,,,,,,,,,,,,,,,
Darrah,Nicole,0.0,,,,,,,,,,,,,,,,,
Tijuana,Ryan O.,1.0,1.0,1.0,,,,,,,,1.0,0.0,,,,,,
Tijuana,Andrew,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,
Tijuana,Osten,1.0,1.0,1.0,,,,,,,,,,,,,,,
Tijuana,Ryan S.,1.0,0.0,,,,,,,,,,,,,,,,
Tijuana,Nicole,0.0,,,,,,,,,,,,,,,,,
Ryan O.,Andrew,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,
Ryan O.,Osten,1.0,1.0,1.0,,,,,,,,,,,,,,,
Ryan O.,Ryan S.,1.0,0.0,,,,,,,,,,,,,,,,
Ryan O.,Nicole,0.0,,,,,,,,,,,,,,,,,
Andrew,Osten,1.0,1.0,1.0,,,,,,,,,,,,,,,
Andrew,Ryan S.,1.0,0.0,,,,,,,,,,,,,,,,
Andrew,Nicole,0.0,,,,,,,,,,,,,,,,,
Osten,Ryan S.,1.0,0.0,,,,,,,,,,,,,,,,
Osten,Nicole,0.0,,,,,,,,,,,,,,,,,
Ryan S.,Nicole,0.0,,,,,,,,,,,,,,,,,
Sandra,Jon,,,,1.0,1.0,0.0,1.0,,,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,
Sandra,Burton,,,,0.0,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,,
Sandra,Christa,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,
Sandra,Shawn,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,
Sandra,Trish,,,,1.0,1.0,0.0,,,,,,,,,,,,
Sandra,Michelle,,,,0.0,0.0,,,,,,,,,,,,,
Jon,Burton,,,,0.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,
Jon,Christa,,,,1.0,1.0,0.0,1.0,,,,1.0,1.0,0.0,1.0,0.0,,,
Jon,Shawn,,,,1.0,1.0,0.0,0.0,,,,,,,,,,,
Jon,Trish,,,,1.0,1.0,1.0,,,,,,,,,,,,
Jon,Michelle,,,,0.0,0.0,,,,,,,,,,,,,
Burton,Christa,,,,0.0,,,,,,,1.0,1.0,0.0,1.0,0.0,,,
Burton,Shawn,,,,0.0,,,,,,,,,,,,,,
Burton,Trish,,,,0.0,,,,,,,,,,,,,,
Burton,Michelle,,,,1.0,,,,,,,,,,,,,,
Christa,Shawn,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,
Christa,Trish,,,,1.0,1.0,0.0,,,,,,,,,,,,
Christa,Michelle,,,,0.0,0.0,,,,,,,,,,,,,
Shawn,Trish,,,,1.0,1.0,0.0,,,,,,,,,,,,
Shawn,Michelle,,,,0.0,0.0,,,,,,,,,,,,,
Trish,Michelle,,,,0.0,0.0,,,,,,,,,,,,,
Sandra,Rupert,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,
Jon,Rupert,,,,,1.0,0.0,1.0,,,,1.0,1.0,0.0,,,,,
Christa,Rupert,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,
Rupert,Shawn,,,,,1.0,1.0,0.0,,,,,,,,,,,
Rupert,Trish,,,,,1.0,0.0,,,,,,,,,,,,
Rupert,Michelle,,,,,0.0,,,,,,,,,,,,,
Sandra,Lillian,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,
Sandra,Darrah,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
Sandra,Tijuana,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,
Sandra,Ryan O.,,,,,,,,,,,0.0,0.0,,,,,,
Sandra,Andrew,,,,,,,,,,,0.0,,,,,,,
Lillian,Jon,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,
Lillian,Burton,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,
Lillian,Christa,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,,,
Lillian,Rupert,,,,,,,,,,,1.0,1.0,0.0,,,,,
Jon,Darrah,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
Jon,Tijuana,,,,,,,,,,,0.0,1.0,1.0,0.0,,,,
Jon,Ryan O.,,,,,,,,,,,0.0,0.0,,,,,,
Jon,Andrew,,,,,,,,,,,0.0,,,,,,,
Darrah,Burton,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,,
Darrah,Christa,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,
Darrah,Rupert,,,,,,,,,,,0.0,1.0,0.0,,,,,
Burton,Tijuana,,,,,,,,,,,0.0,1.0,1.0,0.0,,,,
Burton,Rupert,,,,,,,,,,,1.0,1.0,0.0,,,,,
Burton,Ryan O.,,,,,,,,,,,0.0,0.0,,,,,,
Burton,Andrew,,,,,,,,,,,0.0,,,,,,,
Christa,Tijuana,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,
Christa,Ryan O.,,,,,,,,,,,0.0,0.0,,,,,,
Christa,Andrew,,,,,,,,,,,0.0,,,,,,,
Tijuana,Rupert,,,,,,,,,,,0.0,1.0,0.0,,,,,
Rupert,Ryan O.,,,,,,,,,,,0.0,0.0,,,,,,
Rupert,Andrew,,,,,,,,,,,0.0,,,,,,,
