,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Brook Geraghty,Brook,[],27,Winthrop,MA,Document Manager,Lopevi,,,1st Voted OutDay 3,5,18.0,False
1,Dolly Neely,Dolly,[],25,Mercer,PA,Sheep Farmer,Yasur,,,2nd Voted OutDay 6,5,17.0,False
2,John Palyok,John P.,[],31,Los Angeles,CA,Sales Manager,Lopevi,,,3rd Voted OutDay 7,5,16.0,False
3,Mia Galeotalanza,Mia,[],29,Boston,MA,Bookkeeper,Yasur,,,4th Voted OutDay 7,5,15.0,False
4,Brady Finta,Brady,[],33,Huntington Beach,CA,FBI Agent,Lopevi,,,5th Voted OutDay 10,6,14.0,False
5,Travis Sampson,Travis,[],33,Johnson City,TN,Security Officer,Lopevi,Yasur,,6th Voted OutDay 12,6,13.0,False
6,Lisa Keiffer,Lisa,[],44,Mandeville,LA,Real Estate Agent,Yasur,Yasur,,7th Voted OutDay 15,4,12.0,False
7,John Kenney,John K.,[],22,Los Angeles,CA,Mechanical Bull Operator/Model,Lopevi,Lopevi,,8th Voted OutDay 18,5,11.0,False
8,Rory Freeman,Rory,[],35,Des Moines,IA,Housing Case Manager,Lopevi,Yasur,Alinta,9th Voted OutDay 21,14,10.0,False
9,Lea Masters,Lea,[],40,Columbia,SC,Drill Sargeant,Lopevi,Lopevi,Alinta,10th Voted Out1st Jury MemberDay 24,7,9.0,False
10,Chad Crittenden,Chad,[],34,Oakland,CA,Teacher,Lopevi,Lopevi,Alinta,11th Voted Out2nd Jury MemberDay 27,7,8.0,False
11,Leann Slaby,Leann,[],34,Kansasville,WI,Equity Research Assistant,Yasur,Yasur,Alinta,12th Voted Out3rd Jury MemberDay 30,8,7.0,False
12,Ami Cusack,Ami,[],31,Lakewood,CO,Coffee Barista,Yasur,Yasur,Alinta,13th Voted Out4th Jury MemberDay 33,8,6.0,False
13,Julie Berry,Julie,[],23,Gorham,ME,Youth Mentor,Yasur,Lopevi,Alinta,14th Voted Out5th Jury MemberDay 36,4,5.0,False
14,Eliza Orlins,Eliza,[],21,Syracuse,NY,Pre-Law Student,Yasur,Yasur,Alinta,15th Voted Out6th Jury MemberDay 37,9,4.0,False
15,Scout Cloud Lee,Scout,[],59,Stillwater,OK,Rancher,Yasur,Yasur,Alinta,16th Voted Out7th Jury MemberDay 38,3,3.0,False
16,Twila Tanner,Twila,[],41,Marshall,MO,Highway Repair Worker,Yasur,Lopevi,Alinta,Runner-Up,6,2.0,False
17,Chris Daugherty,Chris,[],33,South Vienna,OH,Highway Construction Worker,Lopevi,Lopevi,Alinta,Sole Survivor,3,1.0,False
