,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Chris,Chad,1.0,,1.0,,1.0,,,1.0,1.0,0.0,1.0,,,,,
Chris,Lea,1.0,,1.0,,1.0,,,1.0,1.0,0.0,,,,,,
Chris,Rory,1.0,,1.0,,1.0,,,,1.0,,,,,,,
Chris,John K.,0.0,,0.0,,1.0,,,0.0,,,,,,,,
Chris,Travis,1.0,,1.0,,1.0,,,,,,,,,,,
Chris,Brady,0.0,,0.0,,0.0,,,,,,,,,,,
Chris,John P.,0.0,,0.0,,,,,,,,,,,,,
Chris,Brook,0.0,,,,,,,,,,,,,,,
Chad,Lea,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,
Chad,Rory,1.0,,1.0,,1.0,,,,1.0,,,,,,,
Chad,John K.,0.0,,0.0,,1.0,,,0.0,,,,,,,,
Chad,Travis,1.0,,1.0,,1.0,,,,,,,,,,,
Chad,Brady,0.0,,0.0,,0.0,,,,,,,,,,,
Chad,John P.,0.0,,0.0,,,,,,,,,,,,,
Chad,Brook,0.0,,,,,,,,,,,,,,,
Lea,Rory,1.0,,1.0,,1.0,,,,1.0,,,,,,,
Lea,John K.,0.0,,0.0,,1.0,,,0.0,,,,,,,,
Lea,Travis,1.0,,1.0,,1.0,,,,,,,,,,,
Lea,Brady,0.0,,0.0,,0.0,,,,,,,,,,,
Lea,John P.,0.0,,0.0,,,,,,,,,,,,,
Lea,Brook,0.0,,,,,,,,,,,,,,,
Rory,John K.,0.0,,0.0,,1.0,,,,,,,,,,,
Rory,Travis,1.0,,1.0,,1.0,0.0,,,,,,,,,,
Rory,Brady,0.0,,0.0,,0.0,,,,,,,,,,,
Rory,John P.,0.0,,0.0,,,,,,,,,,,,,
Rory,Brook,0.0,,,,,,,,,,,,,,,
John K.,Travis,0.0,,0.0,,1.0,,,,,,,,,,,
John K.,Brady,1.0,,1.0,,0.0,,,,,,,,,,,
John K.,John P.,1.0,,1.0,,,,,,,,,,,,,
John K.,Brook,1.0,,,,,,,,,,,,,,,
Travis,Brady,0.0,,0.0,,0.0,,,,,,,,,,,
Travis,John P.,0.0,,0.0,,,,,,,,,,,,,
Travis,Brook,0.0,,,,,,,,,,,,,,,
Brady,John P.,1.0,,1.0,,,,,,,,,,,,,
Brady,Brook,1.0,,,,,,,,,,,,,,,
John P.,Brook,1.0,,,,,,,,,,,,,,,
Twila,Scout,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Twila,Eliza,,1.0,,0.0,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
Twila,Julie,,0.0,,0.0,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,
Twila,Ami,,1.0,,1.0,,,,,1.0,1.0,1.0,0.0,0.0,,,
Twila,Leann,,1.0,,1.0,,,,,1.0,1.0,1.0,0.0,,,,
Twila,Lisa,,0.0,,1.0,,,,,,,,,,,,
Twila,Mia,,0.0,,0.0,,,,,,,,,,,,
Twila,Dolly,,0.0,,,,,,,,,,,,,,
Scout,Eliza,,1.0,,0.0,,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
Scout,Julie,,0.0,,0.0,,,,,1.0,1.0,1.0,0.0,0.0,0.0,,
Scout,Ami,,1.0,,1.0,,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,,,
Scout,Leann,,1.0,,1.0,,1.0,0.0,,1.0,1.0,1.0,0.0,,,,
Scout,Lisa,,0.0,,1.0,,1.0,1.0,,,,,,,,,
Scout,Mia,,0.0,,0.0,,,,,,,,,,,,
Scout,Dolly,,0.0,,,,,,,,,,,,,,
Eliza,Julie,,0.0,,1.0,,,,,1.0,1.0,1.0,0.0,0.0,1.0,,
Eliza,Ami,,1.0,,0.0,,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,,,
Eliza,Leann,,1.0,,0.0,,1.0,1.0,,1.0,1.0,1.0,0.0,,,,
Eliza,Lisa,,0.0,,0.0,,1.0,0.0,,,,,,,,,
Eliza,Mia,,0.0,,1.0,,,,,,,,,,,,
Eliza,Dolly,,0.0,,,,,,,,,,,,,,
Julie,Ami,,0.0,,0.0,,,,,1.0,1.0,1.0,1.0,1.0,,,
Julie,Leann,,0.0,,0.0,,,,,1.0,1.0,1.0,1.0,,,,
Julie,Lisa,,1.0,,0.0,,,,,,,,,,,,
Julie,Mia,,1.0,,1.0,,,,,,,,,,,,
Julie,Dolly,,1.0,,,,,,,,,,,,,,
Ami,Leann,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,
Ami,Lisa,,0.0,,1.0,,1.0,0.0,,,,,,,,,
Ami,Mia,,0.0,,0.0,,,,,,,,,,,,
Ami,Dolly,,0.0,,,,,,,,,,,,,,
Leann,Lisa,,0.0,,1.0,,1.0,0.0,,,,,,,,,
Leann,Mia,,0.0,,0.0,,,,,,,,,,,,
Leann,Dolly,,0.0,,,,,,,,,,,,,,
Lisa,Mia,,1.0,,0.0,,,,,,,,,,,,
Lisa,Dolly,,1.0,,,,,,,,,,,,,,
Mia,Dolly,,1.0,,,,,,,,,,,,,,
Scout,Rory,,,,,,1.0,0.0,,0.0,,,,,,,
Scout,Travis,,,,,,0.0,,,,,,,,,,
Eliza,Rory,,,,,,1.0,1.0,,0.0,,,,,,,
Eliza,Travis,,,,,,0.0,,,,,,,,,,
Ami,Rory,,,,,,1.0,1.0,,0.0,,,,,,,
Ami,Travis,,,,,,0.0,,,,,,,,,,
Leann,Rory,,,,,,1.0,1.0,,0.0,,,,,,,
Leann,Travis,,,,,,0.0,,,,,,,,,,
Rory,Lisa,,,,,,1.0,0.0,,,,,,,,,
Lisa,Travis,,,,,,0.0,,,,,,,,,,
Chris,Twila,,,,,,,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
Chris,Julie,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
Twila,Chad,,,,,,,,1.0,0.0,0.0,0.0,,,,,
Twila,Lea,,,,,,,,1.0,0.0,0.0,,,,,,
Twila,John K.,,,,,,,,0.0,,,,,,,,
Julie,Chad,,,,,,,,1.0,0.0,0.0,0.0,,,,,
Julie,Lea,,,,,,,,1.0,0.0,0.0,,,,,,
Julie,John K.,,,,,,,,0.0,,,,,,,,
Chris,Scout,,,,,,,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
Chris,Eliza,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,
Chris,Ami,,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,
Chris,Leann,,,,,,,,,0.0,1.0,0.0,0.0,,,,
Twila,Rory,,,,,,,,,0.0,,,,,,,
Scout,Chad,,,,,,,,,0.0,0.0,0.0,,,,,
Scout,Lea,,,,,,,,,0.0,0.0,,,,,,
Eliza,Chad,,,,,,,,,0.0,0.0,0.0,,,,,
Eliza,Lea,,,,,,,,,0.0,0.0,,,,,,
Julie,Rory,,,,,,,,,0.0,,,,,,,
Ami,Chad,,,,,,,,,0.0,0.0,0.0,,,,,
Ami,Lea,,,,,,,,,0.0,0.0,,,,,,
Leann,Chad,,,,,,,,,0.0,0.0,0.0,,,,,
Leann,Lea,,,,,,,,,0.0,0.0,,,,,,
