,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,David Samson,David,[],45,Plantation,FL,Miami Marlins President,Luzon,,,1st Voted OutDay 3,4,18.0,False
1,Garrett Adelstein,Garrett,[],27,Santa Monica,CA,Professional Poker Player,Luzon,,,2nd Voted OutDay 6,3,17.0,False
2,Brice Johnston,Brice,[],27,Philadelphia,PA,Social Worker,Solana,,,3rd Voted Out Day 8,5,16.0,False
3,J'Tia Taylor,J'Tia,[],31,Chicago,IL,Nuclear Engineer,Luzon,,,4th Voted Out Day 11,7,15.0,False
4,Cliff Robinson,Cliff,[],46,Buffalo,NY,Former NBA All-Star,Aparri,Solana,,5th Voted Out Day 14,4,14.0,False
5,Lindsey Ogle,Lindsey,[],29,Kokomo,IN,Hairstylist,Aparri,Solana,,QuitDay 14,0,13.0,False
6,Alexis Maxwell,Alexis,[],21,Addison,IL,Student,Solana,Aparri,,6th Voted Out Day 16,8,12.0,False
7,Sarah Lacina,Sarah,[],29,Cedar Rapids,IA,Police Officer,Aparri,Aparri,Solarrion,7th Voted Out 1st Jury MemberDay 19,6,11.0,False
8,Morgan McLeod,Morgan,[],21,San Jose,CA,Ex-NFL Cheerleader,Solana,Aparri,Solarrion,8th Voted Out 2nd Jury MemberDay 22,8,10.0,False
9,LJ McKanas,LJ,[],34,Boston,MA,Horse Trainer,Solana,Solana,Solarrion,9th Voted Out 3rd Jury MemberDay 25,8,9.0,False
10,Jeremiah Wood,Jeremiah,[],34,Dobson,NC,Male Model,Solana,Aparri,Solarrion,10th Voted Out 4th Jury MemberDay 28,9,8.0,False
11,Jefra Bland,Jefra,[],23,Campbellsville,KY,Miss Kentucky Teen USA,Solana,Solana,Solarrion,11th Voted Out 5th Jury MemberDay 30,9,7.0,False
12,Tasha Fox,Tasha,[],36,St. Louis,MO,Accountant,Luzon,Aparri,Solarrion,12th Voted Out 6th Jury MemberDay 33,4,6.0,False
13,Trish Hegarty,Trish,[],47,Needham,MA,Pilates Trainer,Aparri,Solana,Solarrion,13th Voted Out 7th Jury MemberDay 36,5,5.0,False
14,Spencer Bledsoe,Spencer,[],21,Chicago,IL,Economics Student,Luzon,Aparri,Solarrion,14th Voted Out 8th Jury MemberDay 37,8,4.0,False
15,Kass McQuillen,Kass,[],41,Tehachapi,CA,Attorney,Luzon,Aparri,Solarrion,15th Voted Out 9th Jury MemberDay 38,2,3.0,False
16,Woo Hwang,Woo,[],29,Newport Beach,CA,Martial Arts Instructor,Aparri,Solana,Solarrion,Runner-Up,4,2.0,False
17,Tony Vlachos,Tony,[],39,Jersey City,NJ,Police Officer,Aparri,Solana,Solarrion,Sole Survivor,5,1.0,False
