,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
1,Ashley Massaro,Ashley,[],28,East Northport,NY,Professional Wrestler,Zhan Hu,,,2nd Voted OutDay 6,8,15.0,False,False,False,2,False,1,0,0,0,3,2,0,2,0,0,2,0.0,,0,7
2,Leslie Nease,Leslie,[],38,Tega Cay,SC,Christian Radio Host,Fei Long,,,3rd Voted OutDay 9,6,14.0,False,False,False,3,False,2,1,0,0,4,3,2,1,0,0,1,0.5,,0,6
3,Dave Cruser,Dave,[],37,Simi Valley,CA,Former Model,Zhan Hu,,,4th Voted OutDay 12,6,13.0,False,False,False,4,False,3,1,0,0,5,4,1,3,0,1,2,0.3333333333333333,,0,6
4,Aaron Reisberger,Aaron,[],32,Venice,CA,Surfing Instructor,Fei Long,Zhan Hu,,5th Voted OutDay 15,3,12.0,False,False,False,5,False,4,2,0,0,6,5,3,2,0,1,1,0.5,,0,3
5,Sherea Lloyd,Sherea,[],25,Atlanta,GA,Elementary Teacher,Zhan Hu,Fei Long,,6th Voted OutDay 18,6,11.0,False,False,False,6,False,5,2,0,0,7,6,2,3,1,2,1,0.4,,0,6
6,Jaime Dugan,Jaime,[],21,Columbia,SC,Student,Zhan Hu,Zhan Hu,Hae Da Fung,7th Voted Out1st Jury MemberDay 21,7,10.0,False,False,False,7,True,5,2,1,0,8,7,2,4,1,3,1,0.3333333333333333,0.0,0,7
7,Jean-Robert Bellande,Jean-Robert,[],36,Las Vegas,NV,Professional Poker Player,Fei Long,Fei Long,Hae Da Fung,8th Voted Out2nd Jury MemberDay 24,12,9.0,False,False,False,8,True,5,3,2,0,9,8,4,4,0,3,1,0.42857142857142855,0.0,0,12
8,Frosti Zernow,Frosti,[],20,Chicago,IL,Student/Athlete,Zhan Hu,Fei Long,Hae Da Fung,9th Voted Out3rd Jury MemberDay 27,7,8.0,False,False,False,9,True,5,2,3,1,10,9,2,6,1,5,1,1.375,3.0,0,7
9,James Clement,James,[],30,Lafayette,LA,Gravedigger,Fei Long,Zhan Hu,Hae Da Fung,10th Voted Out4th Jury MemberDay 30,9,7.0,False,False,False,10,True,5,3,4,0,11,10,4,6,0,4,2,0.3333333333333333,0.0,0,9
10,Erik Huffman,Erik,[],26,Nashville,TN,Musician,Zhan Hu,Zhan Hu,Hae Da Fung,11th Voted Out5th Jury MemberDay 33,5,6.0,False,False,False,11,True,5,2,5,1,12,11,2,8,1,5,3,0.8,1.2,0,5
11,Peih-Gee Law,Peih-Gee,[],29,Marina del Rey,CA,Jeweler,Zhan Hu,Zhan Hu,Hae Da Fung,12th Voted Out6th Jury MemberDay 36,8,5.0,False,False,False,12,True,5,2,6,2,13,12,2,9,1,4,5,1.2727272727272727,2.0,0,8
12,Denise Martin,Denise,[],40,Douglas,MA,School Lunch Lady,Fei Long,Fei Long,Hae Da Fung,13th Voted Out7th Jury MemberDay 38,3,4.0,False,False,False,13,True,5,3,7,0,14,13,4,9,0,7,2,0.25,0.0,0,3
13,Amanda Kimmel,Amanda,[],22,Los Angeles,CA,Hiking Guide,Fei Long,Fei Long,Hae Da Fung,SecondRunner-Up,0,3.0,False,False,True,14,True,5,3,7,2,15,13,4,9,0,9,0,0.8333333333333334,1.0,1,0
14,Courtney Yates,Courtney,[],26,New York City,NY,Waitress,Fei Long,Fei Long,Hae Da Fung,Runner-Up,0,2.0,False,False,True,14,True,5,3,7,1,15,13,4,9,0,7,2,0.9166666666666666,1.1428571428571428,2,0
15,Todd Herzog,Todd,[],22,Pleasant Grove,UT,Flight Attendant,Fei Long,Fei Long,Hae Da Fung,Sole Survivor,5,1.0,False,True,True,14,True,5,3,7,0,15,13,4,9,0,9,0,0.25,0.0,4,5
