,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Chicken Morris,Chicken,[],47,Marion,VA,Chicken Farmer,Zhan Hu,,,1st Voted OutDay 3,5,16.0,False
1,Ashley Massaro,Ashley,[],28,East Northport,NY,Professional Wrestler,Zhan Hu,,,2nd Voted OutDay 6,8,15.0,False
2,Leslie Nease,Leslie,[],38,Tega Cay,SC,Christian Radio Host,Fei Long,,,3rd Voted OutDay 9,6,14.0,False
3,Dave Cruser,Dave,[],37,Simi Valley,CA,Former Model,Zhan Hu,,,4th Voted OutDay 12,6,13.0,False
4,Aaron Reisberger,Aaron,[],32,Venice,CA,Surfing Instructor,Fei Long,Zhan Hu,,5th Voted OutDay 15,3,12.0,False
5,Sherea Lloyd,Sherea,[],25,Atlanta,GA,Elementary Teacher,Zhan Hu,Fei Long,,6th Voted OutDay 18,6,11.0,False
6,Jaime Dugan,Jaime,[],21,Columbia,SC,Student,Zhan Hu,Zhan Hu,Hae Da Fung,7th Voted Out1st Jury MemberDay 21,7,10.0,False
7,Jean-Robert Bellande,Jean-Robert,[],36,Las Vegas,NV,Professional Poker Player,Fei Long,Fei Long,Hae Da Fung,8th Voted Out2nd Jury MemberDay 24,12,9.0,False
8,Frosti Zernow,Frosti,[],20,Chicago,IL,Student/Athlete,Zhan Hu,Fei Long,Hae Da Fung,9th Voted Out3rd Jury MemberDay 27,7,8.0,False
9,James Clement,James,[],30,Lafayette,LA,Gravedigger,Fei Long,Zhan Hu,Hae Da Fung,10th Voted Out4th Jury MemberDay 30,9,7.0,False
10,Erik Huffman,Erik,[],26,Nashville,TN,Musician,Zhan Hu,Zhan Hu,Hae Da Fung,11th Voted Out5th Jury MemberDay 33,5,6.0,False
11,Peih-Gee Law,Peih-Gee,[],29,Marina del Rey,CA,Jeweler,Zhan Hu,Zhan Hu,Hae Da Fung,12th Voted Out6th Jury MemberDay 36,8,5.0,False
12,Denise Martin,Denise,[],40,Douglas,MA,School Lunch Lady,Fei Long,Fei Long,Hae Da Fung,13th Voted Out7th Jury MemberDay 38,3,4.0,False
13,Amanda Kimmel,Amanda,[],22,Los Angeles,CA,Hiking Guide,Fei Long,Fei Long,Hae Da Fung,SecondRunner-Up,0,3.0,False
14,Courtney Yates,Courtney,[],26,New York City,NY,Waitress,Fei Long,Fei Long,Hae Da Fung,Runner-Up,0,2.0,False
15,Todd Herzog,Todd,[],22,Pleasant Grove,UT,Flight Attendant,Fei Long,Fei Long,Hae Da Fung,Sole Survivor,5,1.0,False
